GAME_ID,year_ID,AWAY_TEAM_ID,INN_CT,BAT_HOME_ID,OUTS_CT,BALLS_CT,STRIKES_CT,PITCH_SEQ_TX,AWAY_SCORE_CT,HOME_SCORE_CT,BAT_ID,BAT_HAND_CD,RESP_BAT_ID,RESP_BAT_HAND_CD,PIT_ID,PIT_HAND_CD,RES_PIT_ID,RES_PIT_HAND_CD,POS2_FLD_ID,POS3_FLD_ID,POS4_FLD_ID,POS5_FLD_ID,POS6_FLD_ID,POS7_FLD_ID,POS8_FLD_ID,POS9_FLD_ID,BASE1_RUN_ID,BASE2_RUN_ID,BASE3_RUN_ID,EVENT_TX,LEADOFF_FL,PH_FL,BAT_FLD_CD,BAT_LINEUP_ID,EVENT_CD,BAT_EVENT_FL,AB_FL,H_CD,SH_FL,SF_FL,EVENT_OUTS_CT,DP_FL,TP_FL,RBI_CT,WP_FL,PB_FL,FLD_CD,BATTEDBALL_CD,BUNT_FL,FOUL_FL,BATTEDBALL_LOC_TX,ERR_CT,ERR1_FLD_CD,ERR1_CD,ERR2_FLD_CD,ERR2_CD,ERR3_FLD_CD,ERR3_CD,BAT_DEST_ID,RUN1_DEST_ID,RUN2_DEST_ID,RUN3_DEST_ID,BAT_PLAY_TX,RUN1_PLAY_TX,RUN2_PLAY_TX,RUN3_PLAY_TX,RUN1_SB_FL,RUN2_SB_FL,RUN3_SB_FL,RUN1_CS_FL,RUN2_CS_FL,RUN3_CS_FL,RUN1_PK_FL,RUN2_PK_FL,RUN3_PK_FL,RUN1_RESP_PIT_ID,RUN2_RESP_PIT_ID,RUN3_RESP_PIT_ID,GAME_NEW_FL,GAME_END_FL,PR_RUN1_FL,PR_RUN2_FL,PR_RUN3_FL,REMOVED_FOR_PR_RUN1_ID,REMOVED_FOR_PR_RUN2_ID,REMOVED_FOR_PR_RUN3_ID,REMOVED_FOR_PH_BAT_ID,REMOVED_FOR_PH_BAT_FLD_CD,PO1_FLD_CD,PO2_FLD_CD,PO3_FLD_CD,ASS1_FLD_CD,ASS2_FLD_CD,ASS3_FLD_CD,ASS4_FLD_CD,ASS5_FLD_CD,EVENT_ID,HOME_TEAM_ID,BAT_TEAM_ID,FLD_TEAM_ID,BAT_LAST_ID,INN_NEW_FL,INN_END_FL,START_BAT_SCORE_CT,START_FLD_SCORE_CT,INN_RUNS_CT,GAME_PA_CT,INN_PA_CT,PA_NEW_FL,PA_TRUNC_FL,START_BASES_CD,END_BASES_CD,BAT_START_FL,RESP_BAT_START_FL,BAT_ON_DECK_ID,BAT_IN_HOLD_ID,PIT_START_FL,RESP_PIT_START_FL,RUN1_FLD_CD,RUN1_LINEUP_CD,RUN1_ORIGIN_EVENT_ID,RUN2_FLD_CD,RUN2_LINEUP_CD,RUN2_ORIGIN_EVENT_ID,RUN3_FLD_CD,RUN3_LINEUP_CD,RUN3_ORIGIN_EVENT_ID,RUN1_RESP_CAT_ID,RUN2_RESP_CAT_ID,RUN3_RESP_CAT_ID,PA_BALL_CT,PA_CALLED_BALL_CT,PA_INTENT_BALL_CT,PA_PITCHOUT_BALL_CT,PA_HITBATTER_BALL_CT,PA_OTHER_BALL_CT,PA_STRIKE_CT,PA_CALLED_STRIKE_CT,PA_SWINGMISS_STRIKE_CT,PA_FOUL_STRIKE_CT,PA_INPLAY_STRIKE_CT,PA_OTHER_STRIKE_CT,EVENT_RUNS_CT,FLD_ID,BASE2_FORCE_FL,BASE3_FORCE_FL,BASE4_FORCE_FL,BAT_SAFE_ERR_FL,BAT_FATE_ID,RUN1_FATE_ID,RUN2_FATE_ID,RUN3_FATE_ID,FATE_RUNS_CT,ASS6_FLD_CD,ASS7_FLD_CD,ASS8_FLD_CD,ASS9_FLD_CD,ASS10_FLD_CD,UNKNOWN_OUT_EXC_FL,UNCERTAIN_PLAY_EXC_FL
ANA201304090,2013,OAK,1,0,0,0,1,CX,0,0,crisc001,R,crisc001,R,wilsc004,L,wilsc004,L,iannc001,pujoa001,kendh001,calla001,aybae001,troum001,bourp001,hamij003,,,,53/G,T,F,8,1,2,T,T,0,F,F,1,F,F,0,F,F,5,G,F,F,,0,0,N,0,N,0,N,0,0,0,0,53,,,,F,F,F,F,F,F,F,F,F,,,,T,F,F,F,F,,,,,0,3,0,0,5,0,0,0,0,1,ANA,OAK,ANA,0,T,F,0,0,0,0,0,T,F,0,0,T,T,younc004,lowrj001,T,T,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,2,1,0,0,1,0,0,calla001,F,F,F,F,0,0,0,0,3,0,0,0,0,0,F,F
ANA201304090,2013,OAK,1,0,1,2,2,CBCFBX,0,0,younc004,R,younc004,R,wilsc004,L,wilsc004,L,iannc001,pujoa001,kendh001,calla001,aybae001,troum001,bourp001,hamij003,,,,63/G,F,F,9,2,2,T,T,0,F,F,1,F,F,0,F,F,6,G,F,F,,0,0,N,0,N,0,N,0,0,0,0,63,,,,F,F,F,F,F,F,F,F,F,,,,F,F,F,F,F,,,,,0,3,0,0,6,0,0,0,0,2,ANA,OAK,ANA,0,F,F,0,0,0,1,1,T,F,0,0,T,T,lowrj001,cespy001,T,T,0,0,0,0,0,0,0,0,0,,,,2,2,0,0,0,0,4,2,0,1,1,0,0,aybae001,F,F,F,F,0,0,0,0,3,0,0,0,0,0,F,F
ANA201304090,2013,OAK,1,0,2,3,1,BBCBB,0,0,lowrj001,R,lowrj001,R,wilsc004,L,wilsc004,L,iannc001,pujoa001,kendh001,calla001,aybae001,troum001,bourp001,hamij003,,,,W,F,F,6,3,14,T,F,0,F,F,0,F,F,0,F,F,0,,F,F,,0,0,N,0,N,0,N,1,0,0,0,,,,,F,F,F,F,F,F,F,F,F,,,,F,F,F,F,F,,,,,0,0,0,0,0,0,0,0,0,3,ANA,OAK,ANA,0,F,F,0,0,0,2,2,T,F,0,1,T,T,cespy001,norrd001,T,T,0,0,0,0,0,0,0,0,0,,,,4,4,0,0,0,0,1,1,0,0,0,0,0,,F,F,F,F,4,0,0,0,3,0,0,0,0,0,F,F
ANA201304090,2013,OAK,1,0,2,3,1,BBCBB,0,0,cespy001,R,cespy001,R,wilsc004,L,wilsc004,L,iannc001,pujoa001,kendh001,calla001,aybae001,troum001,bourp001,hamij003,lowrj001,,,W.1-2,F,F,7,4,14,T,F,0,F,F,0,F,F,0,F,F,0,,F,F,,0,0,N,0,N,0,N,1,2,0,0,,,,,F,F,F,F,F,F,F,F,F,wilsc004,,,F,F,F,F,F,,,,,0,0,0,0,0,0,0,0,0,4,ANA,OAK,ANA,0,F,F,0,0,0,3,3,T,F,1,3,T,T,norrd001,donaj001,T,T,6,3,3,0,0,0,0,0,0,iannc001,,,4,4,0,0,0,0,1,1,0,0,0,0,0,,F,F,F,F,4,4,0,0,3,0,0,0,0,0,F,F
ANA201304090,2013,OAK,1,0,2,3,1,BCBBX,0,0,norrd001,R,norrd001,R,wilsc004,L,wilsc004,L,iannc001,pujoa001,kendh001,calla001,aybae001,troum001,bourp001,hamij003,cespy001,lowrj001,,S8/G.2-H;1-2,F,F,2,5,20,T,T,1,F,F,0,F,F,1,F,F,8,G,F,F,,0,0,N,0,N,0,N,1,2,4,0,,,,,F,F,F,F,F,F,F,F,F,wilsc004,wilsc004,,F,F,F,F,F,,,,,0,0,0,0,0,0,0,0,0,5,ANA,OAK,ANA,0,F,F,0,0,0,4,4,T,F,3,3,T,T,donaj001,mossb001,T,T,7,4,4,6,3,3,0,0,0,iannc001,iannc001,,3,3,0,0,0,0,2,1,0,0,1,0,1,bourp001,F,F,F,F,4,4,4,0,2,0,0,0,0,0,F,F
ANA201304090,2013,OAK,1,0,2,0,0,X,1,0,donaj001,R,donaj001,R,wilsc004,L,wilsc004,L,iannc001,pujoa001,kendh001,calla001,aybae001,troum001,bourp001,hamij003,norrd001,cespy001,,S56/L+.2-3;1-2,F,F,5,6,20,T,T,1,F,F,0,F,F,0,F,F,5,L,F,F,,0,0,N,0,N,0,N,1,2,3,0,,,,,F,F,F,F,F,F,F,F,F,wilsc004,wilsc004,,F,F,F,F,F,,,,,0,0,0,0,0,0,0,0,0,6,ANA,OAK,ANA,0,F,F,1,0,1,5,5,T,F,3,7,T,T,mossb001,frein001,T,T,2,5,5,7,4,4,0,0,0,iannc001,iannc001,,0,0,0,0,0,0,1,0,0,0,1,0,0,calla001,F,F,F,F,0,4,4,0,2,0,0,0,0,0,F,F
ANA201304090,2013,OAK,1,0,2,3,2,BBCBC>F>X,1,0,mossb001,L,mossb001,L,wilsc004,L,wilsc004,L,iannc001,pujoa001,kendh001,calla001,aybae001,troum001,bourp001,hamij003,donaj001,norrd001,cespy001,S9/F.3-H;2-H;1-3,F,F,3,7,20,T,T,1,F,F,0,F,F,2,F,F,9,F,F,F,,0,0,N,0,N,0,N,1,3,4,4,,,,,F,F,F,F,F,F,F,F,F,wilsc004,wilsc004,wilsc004,F,F,F,F,F,,,,,0,0,0,0,0,0,0,0,0,7,ANA,OAK,ANA,0,F,F,1,0,1,6,6,T,F,7,5,T,T,frein001,sizes001,T,T,5,6,6,2,5,5,7,4,4,iannc001,iannc001,iannc001,3,3,0,0,0,0,4,2,0,1,1,0,2,hamij003,F,F,F,F,0,0,4,4,0,0,0,0,0,0,F,F
ANA201304090,2013,OAK,1,0,2,3,2,CFB*BB>B,3,0,frein001,R,frein001,R,wilsc004,L,wilsc004,L,iannc001,pujoa001,kendh001,calla001,aybae001,troum001,bourp001,hamij003,mossb001,,donaj001,W.1-2,F,F,10,8,14,T,F,0,F,F,0,F,F,0,F,F,0,,F,F,,0,0,N,0,N,0,N,1,2,0,3,,,,,F,F,F,F,F,F,F,F,F,wilsc004,,wilsc004,F,F,F,F,F,,,,,0,0,0,0,0,0,0,0,0,8,ANA,OAK,ANA,0,F,F,3,0,3,7,7,T,F,5,7,T,T,sizes001,crisc001,T,T,3,7,7,0,0,0,5,6,6,iannc001,,iannc001,4,4,0,0,0,0,2,1,0,1,0,0,0,,F,F,F,F,0,0,0,0,0,0,0,0,0,0,F,F
ANA201304090,2013,OAK,1,0,2,2,2,CFFBBX,3,0,sizes001,R,sizes001,R,wilsc004,L,wilsc004,L,iannc001,pujoa001,kendh001,calla001,aybae001,troum001,bourp001,hamij003,frein001,mossb001,donaj001,54(1)/FO/G,F,F,4,9,2,T,T,0,F,F,1,F,F,0,F,F,5,G,F,F,,0,0,N,0,N,0,N,1,0,2,3,,54,,,F,F,F,F,F,F,F,F,F,wilsc004,wilsc004,wilsc004,F,F,F,F,F,,,,,0,4,0,0,5,0,0,0,0,9,ANA,OAK,ANA,0,F,T,3,0,3,8,8,T,F,7,7,T,T,crisc001,younc004,T,T,10,8,8,3,7,7,5,6,6,iannc001,iannc001,iannc001,2,2,0,0,0,0,4,1,0,2,1,0,0,calla001,T,F,F,F,0,0,0,0,0,0,0,0,0,0,F,F
ANA201304090,2013,OAK,1,1,0,3,0,BBBB,3,0,troum001,R,troum001,R,parkj001,R,parkj001,R,norrd001,mossb001,sizes001,donaj001,lowrj001,cespy001,crisc001,younc004,,,,W,T,F,7,1,14,T,F,0,F,F,0,F,F,0,F,F,0,,F,F,,0,0,N,0,N,0,N,1,0,0,0,,,,,F,F,F,F,F,F,F,F,F,,,,F,F,F,F,F,,,,,0,0,0,0,0,0,0,0,0,10,ANA,ANA,OAK,1,T,F,0,3,0,0,0,T,F,0,1,T,T,aybae001,pujoa001,T,T,0,0,0,0,0,0,0,0,0,,,,4,4,0,0,0,0,0,0,0,0,0,0,0,,F,F,F,F,0,0,0,0,0,0,0,0,0,0,F,F
