Name,Inducted,Yrs,From,To,ASG,WAR,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF
Tom Glavine,2014,21,1987,2008,10,74.0,305,203,0.600,3.54,682,682,0,56,25,0,"4,413.1",4298,1900,1734,356,1500,145,2607,66,7,65,18604
Greg Maddux,2014,22,1986,2008,8,104.6,355,227,0.610,3.16,744,740,3,109,35,0,"5,008.1",4726,1981,1756,353,999,177,3371,137,28,70,20421
Hank O'Day ,2013,7,1884,1890,0,7.1,73,110,0.399,3.74,201,192,8,177,5,4,"1,651.1",1655,1128,687,65,578,,663,81,0,122,7247
Bert Blyleven ,2011,22,1970,1992,2,90.7,287,250,0.534,3.31,692,685,3,242,60,0,"4,970",4632,2029,1830,430,1322,71,3701,155,19,114,20491
Rich Gossage ,2008,22,1972,1994,9,39.9,124,107,0.537,3.01,1002,37,681,16,0,310,"1,809.1",1497,670,605,119,732,90,1502,47,5,63,7507
Bruce Sutter ,2006,12,1976,1988,6,23.6,68,71,0.489,2.83,661,0,512,0,0,300,"1,042",879,370,328,77,309,83,861,13,8,37,4252
Dennis Eckersley ,2004,24,1975,1998,6,58.6,197,171,0.535,3.5,1071,361,577,100,20,390,"3,285.2",3076,1382,1278,347,738,91,2401,75,16,28,13534
Nolan Ryan ,1999,27,1966,1993,8,77.4,324,292,0.526,3.19,807,773,13,222,61,3,"5,386",3923,2178,1911,321,2795,78,5714,158,33,277,22575
Don Sutton ,1998,23,1966,1988,4,62.9,324,256,0.559,3.26,774,756,12,178,58,5,"5,282.1",4692,2104,1914,472,1343,102,3574,82,21,112,21631
Phil Niekro ,1997,24,1964,1987,5,91.7,318,274,0.537,3.35,864,716,83,245,45,29,"5,404",5044,2337,2012,482,1809,86,3342,123,42,226,22677
Jim Bunning ,1996,17,1955,1971,9,56.7,224,184,0.549,3.27,591,519,39,151,40,16,"3,760.1",3433,1527,1366,372,1000,98,2855,160,8,47,15618
Vic Willis ,1995,13,1898,1910,0,62.7,249,205,0.548,2.63,513,471,41,388,50,11,"3,996",3621,1620,1167,66,1212,,1651,156,6,94,16263
Steve Carlton ,1994,24,1965,1988,10,78.6,329,244,0.574,3.22,741,709,13,254,55,2,"5,217.2",4672,2130,1864,414,1833,150,4136,53,90,183,21683
Rollie Fingers ,1992,17,1968,1985,7,23.3,114,118,0.491,2.9,944,37,709,4,2,341,"1,701.1",1474,615,549,123,492,109,1299,39,7,40,6942
Hal Newhouser ,1992,17,1939,1955,7,55.8,207,150,0.58,3.06,488,374,79,212,33,26,"2,993",2674,1197,1016,136,1249,1,1796,19,7,65,12648
Tom Seaver ,1992,20,1967,1986,12,101.1,311,205,0.603,2.86,656,647,6,231,61,1,"4,783",3971,1674,1521,380,1390,116,3640,76,8,126,19369
Fergie Jenkins ,1991,19,1965,1983,3,77.4,284,226,0.557,3.34,664,594,37,267,49,7,"4,500.2",4142,1853,1669,484,997,116,3192,84,18,62,18400
Gaylord Perry ,1991,22,1962,1983,5,87.5,314,265,0.542,3.11,777,690,33,303,53,11,"5,350",4938,2128,1846,399,1379,164,3534,108,6,160,21953
Jim Palmer ,1990,19,1965,1984,6,63.2,268,152,0.638,2.86,558,521,15,211,53,4,"3,948",3349,1395,1253,303,1311,37,2212,38,11,85,16114
Catfish Hunter ,1987,15,1965,1979,8,32.1,224,166,0.574,3.26,500,476,6,181,42,1,"3,449.1",2958,1380,1248,374,954,57,2012,49,7,49,14032
Hoyt Wilhelm ,1985,21,1952,1972,8,47.4,143,122,0.54,2.52,1070,52,651,20,5,227,"2,254.1",1757,773,632,150,778,61,1610,62,4,90,9164
Don Drysdale ,1984,14,1956,1969,9,57.4,209,166,0.557,2.95,518,465,34,167,49,6,"3,432",3084,1292,1124,280,855,123,2486,154,10,82,14097
Juan Marichal ,1983,16,1960,1975,10,58.2,243,142,0.631,2.89,471,457,11,244,52,2,"3,507",3153,1329,1126,320,709,82,2303,40,20,51,14236
Bob Gibson ,1981,17,1959,1975,9,77.5,251,174,0.591,2.91,528,482,21,255,56,6,"3,884.1",3279,1420,1258,257,1336,118,3117,102,13,108,16068
Addie Joss ,1978,9,1902,1910,0,43.4,160,97,0.623,1.89,286,260,22,234,45,5,"2,327",1888,730,488,19,364,,920,58,1,28,8891
Amos Rusie ,1977,10,1889,1901,0,64.6,246,174,0.586,3.07,463,427,35,393,30,5,"3,778.2",3389,2068,1288,75,1707,,1950,112,1,153,16313
Bob Lemon ,1976,15,1941,1958,7,34.7,207,128,0.618,3.23,460,350,73,188,31,22,"2,850",2559,1185,1024,180,1251,13,1277,57,2,63,12099
Robin Roberts ,1976,19,1948,1966,7,77.3,286,245,0.539,3.41,676,609,49,305,45,25,"4,688.2",4582,1962,1774,505,902,69,2357,54,3,33,19174
